Tiêu đề,Ghi chú,URL,Nhận xét
CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ THƯƠNG MẠI SATORI,,https://www.google.com/maps/place/C%C3%94NG+TY+C%E1%BB%94+PH%E1%BA%A6N+%C4%90%E1%BA%A6U+T%C6%AF+V%C3%80+TH%C6%AF%C6%A0NG+M%E1%BA%A0I+SATORI/data=!4m2!3m1!1s0x317531603d0a27dd:0x3dd29ae48c2451a,
Đại Lý Nước Khoáng Hồng Anh 423/26,,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+L%C3%BD+N%C6%B0%E1%BB%9Bc+Kho%C3%A1ng+H%E1%BB%93ng+Anh+423%2F26/data=!4m2!3m1!1s0x31752a2134529f25:0x940b0a304a563d61,
Đại Lý Nước Tinh Khiết,,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+L%C3%BD+N%C6%B0%E1%BB%9Bc+Tinh+Khi%E1%BA%BFt/data=!4m2!3m1!1s0x3174d600c82c88af:0x38a6eeb6ce308b73,
Giao nước tận nhà - Lê Phát Water,,https://www.google.com/maps/place/Giao+n%C6%B0%E1%BB%9Bc+t%E1%BA%ADn+nh%C3%A0+-+L%C3%AA+Ph%C3%A1t+Water/data=!4m2!3m1!1s0x31752b0fe03bc881:0xbad6346ce9ab87cb,
"Đại lý nước khoáng SÁU THẮNG: Lavie,Viva, Biwase, Vĩnh hảo, Vihawa.",,"https://www.google.com/maps/place/%C4%90%E1%BA%A1i+l%C3%BD+n%C6%B0%E1%BB%9Bc+kho%C3%A1ng+S%C3%81U+TH%E1%BA%AENG:+Lavie,Viva,+Biwase,+V%C4%A9nh+h%E1%BA%A3o,+Vihawa./data=!4m2!3m1!1s0x3174d75bf43073ff:0x1c65c19dd1cfe45",
Đại Lý Nước Uống Nhiên Tường,,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+L%C3%BD+N%C6%B0%E1%BB%9Bc+U%E1%BB%91ng+Nhi%C3%AAn+T%C6%B0%E1%BB%9Dng/data=!4m2!3m1!1s0x31752bf78441ed05:0x59e541547b995706,
Đại Lý Gas Nước Khoáng Nhật Minh,,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+L%C3%BD+Gas+N%C6%B0%E1%BB%9Bc+Kho%C3%A1ng+Nh%E1%BA%ADt+Minh/data=!4m2!3m1!1s0x3175298e729bb56d:0x9d90fa8b323d2a51,
Nước uống ion kiềm Fujiwa,,https://www.google.com/maps/place/N%C6%B0%E1%BB%9Bc+u%E1%BB%91ng+ion+ki%E1%BB%81m+Fujiwa/data=!4m2!3m1!1s0x31752b70ebcfb8e7:0x14fd568c7e20754f,
Đại Lý Gas - Nước Khoáng Tuyết Trang,,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+L%C3%BD+Gas+-+N%C6%B0%E1%BB%9Bc+Kho%C3%A1ng+Tuy%E1%BA%BFt+Trang/data=!4m2!3m1!1s0x31752a0253ad87a9:0xac2ad05655c61f5b,
Đại lý nước khoáng Thanh Tâm,,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+l%C3%BD+n%C6%B0%E1%BB%9Bc+kho%C3%A1ng+Thanh+T%C3%A2m/data=!4m2!3m1!1s0x31752b82328bd679:0xc5a4209b45943e6d,
Đại Lý Gạo Và Nước Uống Thu Hà,,https://www.google.com/maps/place/%C4%90%E1%BA%A1i+L%C3%BD+G%E1%BA%A1o+V%C3%A0+N%C6%B0%E1%BB%9Bc+U%E1%BB%91ng+Thu+H%C3%A0/data=!4m2!3m1!1s0x31752a0f12200841:0x52c467c4bbcb04c7,
